State	Q1	Q2	Q3	Q4	Year
AK	30168861.85	35370867.73	35780065.15	36197065.49	137516860.2
AL	172368804.7	164507064.1	167447355	174413555.1	678736778.9
AR	91116407.55	94315166.84	87271995.74	92975912.32	365679482.5
AZ	222511771.8	302622007.5	297084493.6	299562147.3	1121780420
CA	1226782641	2064716763	1900612001	1968503871	7160615277
CO	222477020.8	238091806.6	204747885.8	239706863	905023576.2
CT	306026363.6	298486832.5	305161137.4	306728392.6	1216402726
DE	5075620.94	7161850.57	9172720.85	8226990.68	29637183.04
FL	694994604.4	699560352.5	838391690.8	708927293.4	2941873941
GA	258144322.9	274068674.2	302966048.7	308400431.9	1143579478
HI	28416855.46	36179869.64	44014467.28	46430575.49	155041767.9
IA	60908051.35	75462805.17	89156328.9	69426163.98	294953349.4
ID	49203289.57	47482207.24	48353055.84	46944558.27	191983110.9
IL	334769620.3	433372727.6	426203964.5	598479753.9	1792826066
IN	300268260.7	354741357.6	362074120	370995267.6	1388079006
KS	32467876.11	58619942.31	151747357.7	82842529.1	325677705.3
KY	301414896.6	278797713.4	266238778	287202381	1133653769
LA	264159657.4	261050926.4	274462859.7	246974742.1	1046648186
MA	318225313.8	329140885.2	384817776.8	346615218.7	1378799194
MD	280546315.1	258469964	283821779.7	297512935.9	1120350995
ME	56796719.41	54033788.63	57217445.47	54039227.74	222087181.3
MI	451772282.4	545669655.9	547782374.2	519582731.6	2064807044
MN	223856612.3	217657997	232612494.1	222091554	896218657.4
MO	309524394.5	312335513.2	297777221.5	309345865.5	1228982995
MS	100907511.6	104470299.2	110082716.1	124562727.4	440023254.2
MT	55132055.29	51956439.74	52892529.6	48994914.33	208975939
NC	413921351.3	477090021.9	411689125.8	494555982.4	1797256481
ND	11851349.13	12524091.48	13170024.13	14145193.48	51690658.22
NE	34050170.23	41654430.85	39030387.22	44407128.48	159142116.8
NH	25986862.54	24634046.87	22580973.78	22069134.31	95271017.5
NJ	226580683.4	351246758.4	369127003.8	362872232.4	1309826678
NM	86430827.58	106479199.9	112371766.1	108258355.6	413540149.2
NV	106138249.8	119892073.2	115471527.8	115195831.9	456697682.7
NY	1507317340	1538139954	1588036973	1487684698	6121178965
OH	490497294.8	781856848.2	1062437596	858506183.8	3193297923
OK	127509148.9	120858321.7	122579485.2	131203094.6	502150050.3
OR	122088455.4	156687247	230216401.2	162135431.2	671127534.8
PA	453197671.1	741395540.7	1047053654	691895324.9	2933542191
RI	51551327.86	54648697.32	56835551.73	55745007.79	218780584.7
SC	106353126.9	136565065.1	125466943	115002370.2	483387505.1
SD	23629695.93	23638737.34	26274499.67	28431852.58	101974785.5
TN	252728303.4	249293283.6	253835484.7	273075377.3	1028932449
TX	856181870.8	804436708.5	832333704.4	879937739.4	3372890023
UT	43566988.4	49372464.25	49417122.85	47476720.1	189833295.6
VA	202814460.1	226647328.6	232772426.4	244286894.2	906521109.3
VT	40681098.79	39345614.83	41521140.91	40232944.55	161780799.1
WA	210690686.4	341118262	272921276.9	284025962.6	1108756188
WI	301334656.7	287809101.7	290162425.7	290338431.7	1169644616
WV	172647194.4	103209571.8	164364703	151252393.4	591473862.5
WY	9189001.48	8797703.63	8985325.9	9275417.09	36247448.1